"ain","address","useType","taxStatus","yearBuilt","beds","baths","bldg","lot","assessed","lastBuyRec","lastBuyPrice","hasFcHist"
"8448-020-074","1155 VIA VERDE, SAN DIMAS CA 91773-4428","Institutional","CURRENT","2021","0","0","28484","47794","7029503","08/01/2018","1100000","False"
"8448-020-075","1297 PASEO ALICIA, SAN DIMAS CA 91773-4407","Single Family Residence","CURRENT","1984","3","2","1934","11839","199200","11/19/2001","360003","False"
"8448-020-076","1272 CALLE CECILIA, SAN DIMAS CA 91773-4434","Single Family Residence","CURRENT","1984","4","3","2828","9324","614972","10/26/1987","315503","False"
"8448-020-077","1269 CALLE CECILIA, SAN DIMAS CA 91773-4435","Single Family Residence","CURRENT","1984","4","3","2226","9341","124775",,,"False"
"8448-020-078","1282 PASEO ALICIA, SAN DIMAS CA 91773-4407","Single Family Residence","CURRENT","1984","3","3","1998","17167","1299978","10/25/2022","1225012","False"
"8448-020-079","1136 PUENTE ST, SAN DIMAS CA 91773-2931","Commercial","CURRENT","2017","0","0","9306","78091","12200090","07/27/2020","11050110","False"
"8448-025-001","2435 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1969","4","3","2890","23294","511483","09/01/1998","239000","False"
"8448-025-009","2499 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1969","3","2","1865","20003","1066193","04/15/2022","985009","False"
"8448-025-010","2496 VIA MARIPOSA, SAN DIMAS CA 91773-4420","Single Family Residence","CURRENT","1969","3","2","1936","15656","136468",,,"False"
"8448-025-011","2494 VIA MARIPOSA, SAN DIMAS CA 91773-4420","Single Family Residence","CURRENT","1969","5","3","2571","15231","390443","11/09/1987","200002","False"
"8448-025-012","2488 VIA MARIPOSA, SAN DIMAS CA 91773-4420","Single Family Residence","CURRENT","1969","3","2","1936","11310","355367","02/25/1994","205002","False"
"8448-025-013","2480 VIA MARIPOSA, SAN DIMAS CA 91773-4420","Single Family Residence","CURRENT","1969","5","3","2571","12712","768971","12/02/2013","615006","False"
"8448-025-014","2470 VIA MARIPOSA, SAN DIMAS CA 91773-4420","Single Family Residence","CURRENT","1969","5","3","2571","12638","788093","10/10/2008","600006","False"
"8448-025-015","2460 VIA MARIPOSA, SAN DIMAS CA 91773-4420","Single Family Residence","CURRENT","1969","4","3","2118","11076","1275000","12/06/2024","1250000","False"
"8448-025-016","2450 VIA MARIPOSA, SAN DIMAS CA 91773-4420","Single Family Residence","CURRENT","1969","5","3","2526","11455","627673","12/20/1991","348003","False"
"8448-025-017","2440 VIA MARIPOSA, SAN DIMAS CA 91773-4420","Single Family Residence","CURRENT","1969","4","3","2118","12257","342485","06/02/1987","166001","False"
"8448-025-018","2410 VIA MARIPOSA, SAN DIMAS CA 91773-4420","Single Family Residence","CURRENT","1969","3","3","2581","15289","968762","06/19/2017","808000","False"
"8448-025-019","1120 CAMINO DEL SUR, SAN DIMAS CA 91773-4402","Single Family Residence","CURRENT","1969","5","3","2827","19938","398680",,,"False"
"8448-025-020","1110 CAMINO DEL SUR, SAN DIMAS CA 91773-4402","Single Family Residence","CURRENT","1969","5","4","3184","23682","714891","09/13/2001","464000","False"
"8448-025-021","1074 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","1969","4","2","1936","11839","840489","06/16/2017","710000","False"
"8448-025-022","1062 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","1969","3","2","1936","21593","841418","09/14/2017","725007","False"
"8448-025-023","1054 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT",,,,,"22424","0","04/07/1992","262000","False"
"8448-025-024","1048 VIA ROMALES, SAN DIMAS CA 91773-4422","Vacant Land","CURRENT",,,,,"2509","0","04/07/1992","262000","False"
"8448-025-025",",","Vacant Land","CURRENT",,,,,"7566","0","12/30/2003","15000","False"
"8448-025-026","2445 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1969","3","2","1656","14957","828057","07/29/2020","750000","False"
"8448-025-033","2495 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1969","3","3","2066","14584","772297","08/07/2014","630000","False"
"8448-025-036",",","Vacant Land","CURRENT",,,,,"46113","0","10/06/1989","200000","False"
"8448-025-037","2457 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1978","3","3","2857","18971","1045021","05/12/2008","780007","False"
"8448-025-038","2469 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1978","4","4","3043","16156","462559","08/24/1994","270000","True"
"8448-025-039","2481 VIA MARIPOSA, SAN DIMAS CA 91773-4421","Single Family Residence","CURRENT","1984","4","3","2603","15715","881255","03/03/2020","790007","False"
"8448-025-040","1054 VIA ROMALES, SAN DIMAS CA 91773-4422","Single Family Residence","CURRENT","1969","4","3","2730","24953","596521","04/07/1992","262002","False"
"8448-025-041",",","Vacant Land","CURRENT",,,,,"40940","162364","02/10/2022","150000","False"
"8448-019-020","1580 E VIA VERDE ST, COVINA CA 91724-3711","Single Family Residence","CURRENT","1952","2","3","2241","198267","0",,,"True"
"8448-019-021","20430 E HOLT AVE, COVINA CA 91724-3707","Single Family Residence","CURRENT","1948","6","6","9107","142372","2554585",,,"False"
"8448-019-022","20410 E HOLT AVE, COVINA CA 91724-3707","Single Family Residence","CURRENT","1982","4","3","3652","41357","1008306","12/16/2002","675000","False"
"8448-019-023","20360 E HOLT AVE, COVINA CA 91724-3705","Single Family Residence","CURRENT","1957","5","4","3451","82638","1159288","12/31/2009","880508","False"
"8448-019-024","20340 E HOLT AVE, COVINA CA 91724-3705","Single Family Residence","CURRENT","1956","3","3","4288","74321","1223182","01/10/2003","828000","False"
"8448-019-025","20320 E HOLT AVE, COVINA CA 91724-3705","Single Family Residence","CURRENT","1956","2","3","2711","80527","1151828","07/14/2016","973009","False"
"8448-019-026",",","Vacant Land","CURRENT",,,,,"116132","97494",,,"False"
"8448-019-027","20363 E VIA VERDE ST, COVINA CA 91724-3712","Single Family Residence","CURRENT","1979","5","4","5174","127286","1755485","03/16/2021","1590015","False"
"8448-019-028","1478 E HOLT AVE, COVINA CA 91724-3703","Single Family Residence","CURRENT","1950","2","3","3605","311965","2958000","07/25/2024","2900000","False"
"8448-019-029",",","Other Property Type","CURRENT",,,,,,"0",,,"False"
"8448-019-030",",","Other Property Type","CURRENT",,,,,,"0",,,"False"
"8448-019-033","1037 PARK VIEW DR, COVINA CA 91724-3750","Commercial","CURRENT","1985","0","0","12232","29617","1711622","08/13/2007","3300033","False"
"8448-019-034","1051 PARK VIEW DR, COVINA CA 91724-3700","Commercial","CURRENT","1987","0","0","16144","33851","4294743","12/12/2019","3850038","False"
"8448-019-035",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-019-036",",","Other Property Type","CURRENT",,,,,,"0",,,"False"
"8448-019-037",",","Other Property Type","CURRENT",,,,,,"0",,,"False"
"8448-019-038",",","Other Property Type","CURRENT",,,,,,"0",,,"False"
"8448-019-039","1161 PARK VIEW DR, COVINA CA 91724-3751","Commercial","CURRENT","1983","0","0","14466","32700","0","02/02/1990","1640000","False"
"8448-019-040",",","Vacant Land","CURRENT",,,,,"66837","0",,,"False"
"8448-019-041",",","Vacant Land","CURRENT",,,,,"44623","0","06/01/2018","4175000","False"
"8448-019-042",",","Vacant Land","CURRENT",,,,,"42078","0","06/01/2018","4175000","False"
"8448-019-043","1074 PARK VIEW DR, COVINA CA 91724-3749","Commercial","CURRENT","1983","0","0","15086","45903","3129027","09/11/2018","2750027","False"
"8448-019-044",",","Vacant Land","CURRENT",,,,,"36134","0","03/26/2019","3050000","False"
"8448-019-045",",","Vacant Land","CURRENT",,,,,"36135","0","03/26/2019","3050000","False"
"8448-019-046","1430 E HOLT AVE, COVINA CA 91724-3703","Commercial","CURRENT","1987","0","0","15710","32641","5177115","12/13/2017","4000040","False"
"8448-019-047","1438 E HOLT AVE, COVINA CA 91724-3703","Single Family Residence","CURRENT","1991","4","6","9919","141068","4982595","04/28/2016","3200032","False"
"8448-019-048","1123 PARK VIEW DR, COVINA CA 91724-3748","Commercial","CURRENT","1985","0","0","45609","94996","13653947","03/22/2019","12000120","False"
"8448-019-049","1067 PARK VIEW DR, COVINA CA 91724-3748","Commercial","CURRENT","1987","0","0","8085","50107","2353527","12/01/2006","1500015","False"
"8448-019-050","1161 PARK VIEW DR, COVINA CA 91724-3751","Commercial","CURRENT","1983","0","0","14466","31947","1987342","06/17/2021","1800018","True"
"8448-019-051","1580 E VIA VERDE ST, COVINA CA 91724-3711","Single Family Residence","CURRENT","1952","2","3","2241","182412","681613",,,"False"
"8448-019-052",",","Vacant Land","CURRENT",,,,,"63670","0","06/01/2018","4175000","False"
"8448-019-053","1054 PARK VIEW DR, COVINA CA 91724-0000","Institutional","CURRENT","2022","51","94","90786","72269","40328211","03/26/2019","3050030","False"
"8448-019-054",",","Vacant Land","CURRENT",,,,,"150442","4845443","06/01/2018","4175041","False"
"8448-021-020",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-021-021","1219 PASEO DORADO, SAN DIMAS CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-021-022",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-021-023","1211 PASEO DORADO, SAN DIMAS CA 91773-4411","Single Family Residence","CURRENT",,,,,,"0","01/18/1990","445000","False"
"8448-021-024",",","Vacant Land","CURRENT",,,,,,"0","01/18/1990","445000","False"
"8448-021-025","1203 PASEO DORADO, SAN DIMAS CA 91773-4411","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-021-026",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-021-027","1204 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT","1977","4","2","1982","11753","808745","12/19/2019","725007","False"
"8448-021-028","1212 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-021-029",",","Vacant Land","CURRENT",,,,,,"0","09/27/1985","206000","False"
"8448-021-030",",","Vacant Land","CURRENT",,,,,,"0","06/28/1991","350000","False"
"8448-021-031","1220 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT",,,,,,"0","06/28/1991","350000","False"
"8448-021-032","1228 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT","1977","3","3","3358","12401","966800","11/02/2004","680006","False"
"8448-021-033","1236 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT","1977","4","3","2598","12495","814366","05/08/2009","620006","False"
"8448-021-034","1244 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT","1977","5","3","3358","12138","765619","03/30/1989","400004","False"
"8448-021-035","1252 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT","1977","4","3","2989","12005","508312","04/12/1996","300000","False"
"8448-021-036","1260 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT","1977","3","3","3358","11102","779979","03/29/1989","407504","False"
"8448-021-037","1306 VIA VERDE, SAN DIMAS CA 91773-4425","Single Family Residence","CURRENT","1977","4","3","2297","11081","1059915","04/09/2021","960000","False"
"8448-021-038","1318 VIA VERDE, SAN DIMAS CA 91773-4425","Single Family Residence","CURRENT","1977","3","3","2598","11110","904015","05/14/2014","723007","False"
"8448-021-039","1322 VIA VERDE, SAN DIMAS CA 91773-4425","Single Family Residence","CURRENT","1977","3","3","3358","11576","963280","11/14/2017","830008","False"
"8448-021-040","1330 VIA VERDE, SAN DIMAS CA 91773-4425","Single Family Residence","CURRENT","1977","3","3","2598","13072","789967","12/07/2009","600000","False"
"8448-021-041","1338 VIA VERDE, SAN DIMAS CA 91773-4425","Single Family Residence","CURRENT","1977","3","3","3358","12392","684925",,,"False"
"8448-021-042","1346 VIA VERDE, SAN DIMAS CA 91773-4425","Single Family Residence","CURRENT","1977","3","3","2598","11169","904342","05/15/2008","675006","False"
"8448-021-043","1354 VIA VERDE, SAN DIMAS CA 91773-4425","Single Family Residence","CURRENT","1977","3","3","3358","9806","671442","11/29/2000","130001","False"
"8448-021-044","1362 VIA VERDE, SAN DIMAS CA 91773-4425","Single Family Residence","CURRENT","1977","4","2","1982","12668","640576","10/03/2012","510005","False"
"8448-021-045","1227 PASEO DORADO, SAN DIMAS CA 91773-4411","Single Family Residence","CURRENT","1965","4","3","2570","15402","645688","04/28/1989","400004","False"
"8448-021-046","1219 PASEO DORADO, SAN DIMAS CA 91773-4411","Single Family Residence","CURRENT","1977","4","2","2078","11666","828317","07/07/2015","686006","False"
"8448-021-047","1203 PASEO DORADO, SAN DIMAS CA 91773-4411","Single Family Residence","CURRENT","1977","4","2","2115","12802","1300000","08/11/2025","1300000","True"
"8448-021-048","1220 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT","1977","5","3","3173","12064","545424","08/20/1997","289002","False"
"8448-021-049","1211 PASEO DORADO, SAN DIMAS CA 91773-4411","Single Family Residence","CURRENT","1977","3","3","2856","12330","556503",,,"False"
"8448-021-050","1212 VIA VERDE, SAN DIMAS CA 91773-4424","Single Family Residence","CURRENT","1977","4","4","3958","11346","663294","10/01/1998","352003","False"
