ain,address,useType,taxStatus,parcelStatus,yearBuilt,beds,baths,bldg,lot,assessed,lastBuyRec,lastBuyPrice,lastBuyDoc,hasFcHist
8448-011-021,"1922 E RANCHO GRANDE DR, COVINA CA 91724-3340","Single Family Residence",CURRENT,ACTIVE,1968,3,2,2037,22188,407424,08/09/2022,1100000,0798841,false
8448-011-022,"1906 E RANCHO GRANDE DR, COVINA CA 91724-3340","Single Family Residence",CURRENT,ACTIVE,1969,4,2,1988,22232,725521,,,,false
8448-011-023,"1874 E RANCHO GRANDE DR, COVINA CA 91724-3338","Single Family Residence",CURRENT,ACTIVE,1969,3,2,2098,19448,181307,,,,false
8448-011-024,"1860 E RANCHO GRANDE DR, COVINA CA 91724-3338","Single Family Residence",CURRENT,ACTIVE,1973,4,3,2752,21137,393610,,,,false
8448-011-025,"1850 E RANCHO GRANDE DR, COVINA CA 91724-3338","Single Family Residence",CURRENT,ACTIVE,1968,3,3,2528,28558,859519,08/11/2025,1605000,0542525,false
8448-011-026,"1838 E RANCHO GRANDE DR, COVINA CA 91724-3338","Single Family Residence",CURRENT,ACTIVE,1968,3,2,2523,20737,705657,02/23/2011,540005,0285308,false
8448-011-027,"1831 E RANCHO GRANDE DR, COVINA CA 91724-3339","Single Family Residence",CURRENT,ACTIVE,1968,4,3,2388,33717,1018758,12/19/2022,960009,1181862,false
8448-011-028,"1845 E RANCHO GRANDE DR, COVINA CA 91724-3339","Single Family Residence",CURRENT,ACTIVE,1968,3,2,1839,25213,1080266,12/23/2005,775007,3170851,false
8448-011-029,"1857 E RANCHO GRANDE DR, COVINA CA 91724-3339","Single Family Residence",CURRENT,ACTIVE,1968,3,3,2366,19614,819231,08/15/2018,720007,0819738,false
8448-011-030,"1871 E RANCHO GRANDE DR, COVINA CA 91724-3339","Single Family Residence",CURRENT,ACTIVE,1976,3,2,2367,29836,167207,,,,false
8448-011-031,"557 N JALAPA DR, COVINA CA 91724-3503","Single Family Residence",CURRENT,ACTIVE,1966,3,2,1792,23811,1058419,10/26/2007,790000,2428016,false
8448-011-032,"549 N JALAPA DR, COVINA CA 91724-3503","Single Family Residence",CURRENT,ACTIVE,1968,3,3,1820,20726,296125,,,,false
8448-011-033,"541 N JALAPA DR, COVINA CA 91724-3503","Single Family Residence",CURRENT,ACTIVE,1975,3,3,2132,21914,927575,01/18/2005,670000,0115752,false
8448-011-034,"533 N JALAPA DR, COVINA CA 91724-3503","Single Family Residence",CURRENT,ACTIVE,1965,3,2,1792,25381,910256,08/21/2018,800008,0841265,false
8448-011-035,"525 N JALAPA DR, COVINA CA 91724-3503","Single Family Residence",CURRENT,ACTIVE,1965,4,2,2149,20933,711041,09/09/2011,555005,1221454,false
8448-011-036,"517 N JALAPA DR, COVINA CA 91724-3503","Single Family Residence",CURRENT,ACTIVE,1966,3,3,2383,20925,310763,12/21/1966,45500,,false
8448-011-037,"509 N JALAPA DR, COVINA CA 91724-3503","Single Family Residence",CURRENT,ACTIVE,1965,4,2,2704,20916,1485000,08/21/2025,900000,0568858,false
8448-011-038,"501 N JALAPA DR, COVINA CA 91724-3503","Single Family Residence",CURRENT,ACTIVE,1965,4,2,2149,22664,893662,03/10/2015,729007,0254638,false
8448-011-039,"511 RANCHO LOS NOGALES DR, COVINA CA 91724-3350","Single Family Residence",CURRENT,ACTIVE,1969,4,3,2691,19646,768695,11/18/2011,600006,1567034,false
